Gene,Importance
LYST (1130),0.018768895
PAWR (5074),0.015553848
FCGR2A (2212),0.012874673
SLC43A3 (29015),0.009458589
TIGD7 (91151),0.008820283
MMP24 (10893),0.00865964
MS4A2 (2206),0.007926319
THAP8 (199745),0.0076925606
CPN1 (1369),0.00749965
TRPV2 (51393),0.007325729
HECTD4 (283450),0.0071137915
CDK16 (5127),0.0067405435
TNFRSF14 (8764),0.006605975
RNF121 (55298),0.006543718
ALX4 (60529),0.0064908946
ADAM12 (8038),0.0061013093
SYT15B (102724488),0.005841414
FZD2 (2535),0.0054087765
TIMM17B (10245),0.005369395
EML1 (2009),0.005352095
SLC45A2 (51151),0.0051858095
ARAF (369),0.0049802247
DCLK2 (166614),0.0048953868
GRAMD4 (23151),0.004884003
DNAAF8 (146562),0.004833587
SPRY4 (81848),0.0046208613
CPLANE1 (65250),0.004540307
FAM120C (54954),0.00443673
ETV4 (2118),0.0044366284
PRDM11 (56981),0.0044031185
PHLDA1 (22822),0.004340076
JAK1 (3716),0.004282439
FRMPD3 (84443),0.004256108
MMP17 (4326),0.0040617324
POLR1D (51082),0.004047343
CITED2 (10370),0.0039199963
B3GNT9 (84752),0.0038866461
TLCD4 (148534),0.003834417
CUEDC1 (404093),0.0037994871
RPGRIP1L (23322),0.0037268607
RAB38 (23682),0.0036830737
NTNG1 (22854),0.003651416
CHN1 (1123),0.0036377565
PRDX1 (5052),0.0035908928
CCDC102A (92922),0.0035503188
SLC41A2 (84102),0.0035213565
MSANTD1 (345222),0.003463943
ZNF736 (728927),0.0034459685
FYB1 (2533),0.0033204958
BCDIN3D (144233),0.003260634
STX4 (6810),0.0032576115
SLC37A2 (219855),0.0032250367
DNAJB4 (11080),0.003203434
NPEPPS (9520),0.003196315
FAM76A (199870),0.0031946495
SH3BP1 (23616),0.0031686188
GSTO1 (9446),0.0031678537
DUSP6 (1848),0.0031520417
FHL1 (2273),0.0030825862
LYG1 (129530),0.0030818465
CAV2 (858),0.0030606596
DAGLB (221955),0.0030148146
ZFP36L2 (678),0.0029971974
GGCX (2677),0.0028559251
TSR2 (90121),0.0028500378
VILL (50853),0.0028181986
GPR156 (165829),0.0028109667
PRKRIP1 (79706),0.0027738411
FAM50A (9130),0.002760771
ANKRD33B (651746),0.002723843
FTSJ1 (24140),0.002709103
SPRY2 (10253),0.0026772204
TRA2A (29896),0.0026391067
IFI44L (10964),0.0026346378
ZNG1B (150472),0.0025704599
R3HDM2 (22864),0.0025507635
TBL1X (6907),0.0025312034
HHEX (3087),0.0025127395
BBC3 (27113),0.0025036396
HLF (3131),0.0024809446
P2RY6 (5031),0.0024731804
DAGLA (747),0.0024666933
PPP1R3F (89801),0.0024450556
HIVEP1 (3096),0.0024426463
ATMIN (23300),0.002439934
CCDC65 (85478),0.0024280334
ERI3 (79033),0.0024143828
PGM1 (5236),0.0024100079
GLIS3 (169792),0.002405621
FER1L5 (90342),0.0023938955
AACS (65985),0.002370775
EOGT (285203),0.0023661563
IL1RL1 (9173),0.0023511592
HSPB8 (26353),0.0023510067
SERTAD3 (29946),0.002331393
CLIP1 (6249),0.00228653
ZMYND8 (23613),0.0022704646
FOLR1 (2348),0.0022438902
BOD1 (91272),0.0022304459
AEN (64782),0.0022296077
PREP (5550),0.002219922
CHRDL1 (91851),0.002212839
PTPRH (5794),0.0022041865
TSKU (25987),0.0021856616
HSD17B6 (8630),0.0021647012
GBP1 (2633),0.0021468557
LYZ (4069),0.0021276982
FDXR (2232),0.002125261
ARL16 (339231),0.0021235168
TMEM204 (79652),0.002122476
CUBN (8029),0.0021048565
GUCY1B1 (2983),0.0020905207
